Model,CV_MAE,CV_RMSE,CV_R2,MAE,RMSE,R2
Random Forest,0.33495941325081635,0.5113684448161744,0.8042453255422906,0.32689429283914756,0.5034471581725427,0.8065802010817615
Tuned Random Forest,0.3418275313092325,0.5079206149744864,0.8068826715171229,0.3361441926920841,0.5070061512977122,0.8038358697764791
Gradient Boosting,0.36260579740831655,0.5248977410163527,0.793813862399931,0.3619551147849225,0.5319787793832026,0.7840358037733038
Linear Regression,0.5225957514926745,0.7134590923211689,0.6190784138060419,0.525081034598162,0.7249688840329971,0.5989191988583666
Ridge Regression,0.5225862263031467,0.7134527841874061,0.6190853277484182,0.5250752716168671,0.7249828122123123,0.5989037874962964
