Feature,Importance,Std,DisplayFeature
MedInc,0.5829586837187498,0.006064297969028563,Median Income
Latitude,0.3938914445778092,0.00299245447351552,Latitude
Longitude,0.3192854686564598,0.004798208642224512,Longitude
AveOccup,0.2109706957050883,0.002880494920932556,Average Occupancy
HouseAge,0.0864517063570928,0.0054256521027778,House Age
AveRooms,0.0536040426164631,0.0035028725235783566,Average Rooms
AveBedrms,0.02044864296251352,0.001646924322792475,Average Bedrooms
Population,0.009505458883679596,0.0007023395791507022,Population
